class;Eccentricity;Aspect Ratio;Elongation;Solidity;Stochastic Convexity;Isoperimetric Factor;Maximal Indentation Depth ;Lobedness;Average Intensity;Average Contrast;Smoothness;Third moment;Uniformity;Entropy
Euonymus japonicus ;0.58;1.25;0.21;0.99;1;0.84;0;0;0.04;0.11;0.01;0;0;1.04
Euonymus japonicus ;0.41;1.07;0.15;0.98;1;0.84;0;0;0.05;0.15;0.02;0.01;0;1.18
Euonymus japonicus ;0.83;1.69;0.47;0.97;1;0.7;0.02;0.07;0.03;0.1;0.01;0;0;0.67
Ilex perado ssp. azorica ;0.6;1.25;0.21;0.99;1;0.8;0.01;0.01;0.02;0.06;0;0;0;0.86
Ilex perado ssp. azorica ;0.67;1.28;0.31;0.99;1;0.86;0;0;0.03;0.09;0.01;0;0;1.04
Ilex perado ssp. azorica ;0.81;1.74;0.43;0.99;1;0.79;0.01;0.01;0.03;0.1;0.01;0;0;1.03
Ilex perado ssp. azorica ;0.73;1.48;0.33;0.99;1;0.84;0;0;0.03;0.08;0.01;0;0;0.98
Ilex perado ssp. azorica ;0.8;1.65;0.41;0.99;1;0.82;0;0;0.03;0.09;0.01;0;0;0.99
Ilex perado ssp. azorica ;0.81;1.69;0.41;0.99;1;0.79;0;0;0.03;0.1;0.01;0;0;1.02
Ilex perado ssp. azorica ;0.86;1.87;0.5;0.98;1;0.69;0.01;0.02;0.05;0.1;0.01;0;0;1.62
Ilex perado ssp. azorica ;0.76;1.58;0.39;0.99;1;0.82;0.01;0.01;0.03;0.1;0.01;0;0;1.14
Ilex perado ssp. azorica ;0.8;1.65;0.4;0.98;1;0.8;0.01;0.02;0.05;0.1;0.01;0;0;1.51
Ilex perado ssp. azorica ;0.79;1.53;0.43;0.97;1;0.79;0.02;0.05;0.05;0.12;0.01;0;0;1.42
Ilex perado ssp. azorica ;0.67;1.36;0.27;0.99;1;0.77;0.01;0;0.02;0.07;0.01;0;0;0.62
Magnolia soulangeana ;0.95;3.35;0.71;0.96;1;0.46;0.04;0.23;0.05;0.13;0.02;0;0;1.31
Magnolia soulangeana ;0.93;2.89;0.68;0.96;1;0.51;0.03;0.13;0.05;0.12;0.01;0;0;1.38
Magnolia soulangeana ;0.92;2.68;0.63;0.96;1;0.56;0.02;0.07;0.1;0.2;0.04;0.01;0;1.97
Magnolia soulangeana ;0.87;2.15;0.54;0.98;1;0.66;0.02;0.08;0.08;0.19;0.03;0.01;0;1.46
Magnolia soulangeana ;0.91;2.57;0.61;0.98;1;0.6;0.01;0.01;0.09;0.19;0.04;0.01;0;1.67
Magnolia soulangeana ;0.92;2.67;0.63;0.98;1;0.58;0.01;0.02;0.11;0.2;0.04;0.01;0;2.22
Magnolia soulangeana ;0.92;2.7;0.63;0.98;1;0.59;0;0;0.1;0.19;0.03;0.01;0;2.06
Magnolia soulangeana ;0.91;2.73;0.65;0.97;0.99;0.56;0.02;0.09;0.07;0.15;0.02;0.01;0;1.57
Magnolia soulangeana ;0.88;2.24;0.56;0.98;1;0.65;0.01;0.02;0.14;0.22;0.05;0.01;0;2.47
Magnolia soulangeana ;0.92;2.92;0.66;0.97;1;0.52;0.01;0.02;0.06;0.17;0.03;0.01;0;1.24
Magnolia soulangeana ;0.87;2.14;0.54;0.98;1;0.69;0.01;0.01;0.12;0.21;0.04;0.01;0;2.11
Magnolia soulangeana ;0.93;3.22;0.69;0.96;1;0.48;0.02;0.09;0.08;0.18;0.03;0.01;0;1.42
Buxus sempervirens ;0.84;1.95;0.49;0.97;0.98;0.65;0.02;0.05;0.01;0.04;0;0;0;0.24
Buxus sempervirens ;0.83;2;0.5;0.96;1;0.67;0.03;0.15;0.01;0.05;0;0;0;0.33
Buxus sempervirens ;0.85;2.01;0.5;0.97;1;0.65;0.02;0.07;0.01;0.04;0;0;0;0.23
Buxus sempervirens ;0.74;1.64;0.39;0.97;1;0.75;0.03;0.11;0.01;0.05;0;0;0;0.38
Buxus sempervirens ;0.83;1.89;0.47;0.96;1;0.66;0.02;0.1;0.01;0.04;0;0;0;0.27
Buxus sempervirens ;0.82;1.9;0.48;0.97;1;0.7;0.03;0.11;0.01;0.03;0;0;0;0.3
Buxus sempervirens ;0.85;2.09;0.52;0.95;1;0.61;0.04;0.29;0.01;0.04;0;0;0;0.34
Buxus sempervirens ;0.82;1.91;0.48;0.95;0.99;0.59;0.04;0.26;0.01;0.03;0;0;0;0.26
Buxus sempervirens ;0.79;1.82;0.45;0.95;1;0.63;0.03;0.17;0.01;0.04;0;0;0;0.37
Buxus sempervirens ;0.81;1.86;0.46;0.95;0.99;0.61;0.03;0.15;0.01;0.06;0;0;0;0.28
Buxus sempervirens ;0.8;1.88;0.47;0.93;0.99;0.58;0.04;0.35;0.01;0.06;0;0;0;0.29
Buxus sempervirens ;0.85;2.06;0.52;0.97;0.98;0.61;0.03;0.12;0.01;0.04;0;0;0;0.33
Urtica dioica ;0.51;1.22;0.28;0.93;0.99;0.41;0.02;0.05;0.1;0.17;0.03;0.01;0;1.85
Urtica dioica ;0.53;1.21;0.26;0.94;0.98;0.52;0.02;0.07;0.15;0.2;0.04;0.01;0;2.71
Urtica dioica ;0.25;1.1;0.21;0.95;0.99;0.53;0.01;0.03;0.14;0.21;0.04;0.01;0;2.58
Urtica dioica ;0.56;1.23;0.25;0.95;0.99;0.55;0.02;0.04;0.06;0.14;0.02;0.01;0;1.36
Urtica dioica ;0.35;1.14;0.24;0.94;0.99;0.48;0.02;0.07;0.11;0.19;0.03;0.01;0;1.9
Urtica dioica ;0.48;1.2;0.27;0.95;1;0.52;0.02;0.09;0.07;0.15;0.02;0.01;0;1.37
Urtica dioica ;0.19;1.06;0.25;0.94;0.99;0.47;0.02;0.07;0.06;0.13;0.02;0;0;1.41
Urtica dioica ;0.5;1.18;0.23;0.95;0.99;0.59;0.02;0.05;0.05;0.13;0.02;0.01;0;1.15
Urtica dioica ;0.33;1.12;0.27;0.94;0.99;0.5;0.02;0.11;0.11;0.17;0.03;0.01;0;2.49
Urtica dioica ;0.4;1.16;0.29;0.94;0.99;0.55;0.03;0.12;0.05;0.12;0.01;0;0;1.49
Urtica dioica ;0.42;1.19;0.31;0.93;0.99;0.51;0.02;0.08;0.06;0.13;0.02;0;0;1.65
Urtica dioica ;0.46;1.16;0.24;0.94;0.99;0.64;0.02;0.07;0.03;0.1;0.01;0;0;0.79
Podocarpus sp. ;1;9.49;0.91;0.85;0.97;0.17;0.08;1.23;0.01;0.06;0;0;0;0.42
Podocarpus sp. ;1;11.01;0.92;0.87;0.99;0.15;0.06;0.76;0.01;0.06;0;0;0;0.37
Podocarpus sp. ;1;12.01;0.95;0.67;0.94;0.11;0.2;7.21;0.01;0.05;0;0;0;0.4
Podocarpus sp. ;0.99;9.74;0.9;0.93;0.98;0.2;0.02;0.08;0.02;0.08;0.01;0;0;0.49
Podocarpus sp. ;1;12.55;0.92;0.94;0.97;0.16;0.03;0.13;0.01;0.06;0;0;0;0.31
Podocarpus sp. ;1;10.91;0.94;0.7;0.94;0.12;0.15;4.28;0.01;0.06;0;0;0;0.37
Podocarpus sp. ;1;9.69;0.91;0.88;0.94;0.18;0.05;0.45;0.01;0.07;0;0;0;0.41
Podocarpus sp. ;1;8.99;0.93;0.69;0.87;0.14;0.19;6.47;0.01;0.07;0;0;0;0.37
Podocarpus sp. ;1;9.14;0.93;0.69;0.91;0.15;0.18;5.84;0.01;0.04;0;0;0;0.17
Podocarpus sp. ;1;10.12;0.92;0.81;0.91;0.15;0.12;2.73;0.01;0.05;0;0;0;0.27
Podocarpus sp. ;0.99;9.2;0.91;0.84;0.98;0.18;0.06;0.56;0.02;0.08;0.01;0;0;0.39
Acca sellowiana ;0.86;2.07;0.52;0.99;0.99;0.71;0.01;0.02;0.04;0.12;0.01;0;0;0.95
Acca sellowiana ;0.87;2.11;0.53;0.98;0.99;0.61;0;0;0.03;0.09;0.01;0;0;0.74
Acca sellowiana ;0.86;2.04;0.51;0.99;1;0.71;0.01;0.01;0.05;0.14;0.02;0.01;0;1.07
Acca sellowiana ;0.9;2.35;0.58;0.99;1;0.59;0;0;0.02;0.08;0.01;0;0;0.69
Acca sellowiana ;0.89;2.2;0.55;0.99;1;0.59;0;0;0.04;0.12;0.02;0.01;0;0.84
Acca sellowiana ;0.88;2.15;0.54;0.99;1;0.72;0;0;0.04;0.13;0.02;0.01;0;0.97
Acca sellowiana ;0.88;2.24;0.56;0.98;1;0.68;0.01;0.02;0.03;0.09;0.01;0;0;0.75
Acca sellowiana ;0.89;2.26;0.56;0.98;1;0.68;0.01;0.03;0.02;0.08;0.01;0;0;0.61
Acca sellowiana ;0.83;1.84;0.47;0.99;1;0.75;0;0;0.03;0.11;0.01;0;0;0.8
Acca sellowiana ;0.85;1.99;0.5;0.98;1;0.72;0.01;0.01;0.02;0.07;0.01;0;0;0.45
Acca sellowiana ;0.79;1.68;0.41;0.98;1;0.77;0.01;0.03;0.02;0.08;0.01;0;0;0.43
Hydrangea sp. ;0.7;1.49;0.35;0.98;1;0.74;0.01;0.01;0.07;0.16;0.02;0.01;0;1.26
Hydrangea sp. ;0.61;1.39;0.3;0.97;1;0.74;0.01;0.02;0.14;0.21;0.04;0.01;0;2.27
Hydrangea sp. ;0.79;1.71;0.42;0.98;1;0.76;0.01;0.01;0.06;0.15;0.02;0.01;0;1.37
Hydrangea sp. ;0.76;1.67;0.41;0.98;1;0.75;0.01;0.02;0.02;0.09;0.01;0;0;0.44
Hydrangea sp. ;0.69;1.45;0.32;0.98;0.99;0.79;0.01;0.01;0.08;0.17;0.03;0.01;0;1.54
Hydrangea sp. ;0.82;1.87;0.47;0.98;1;0.65;0.01;0.01;0.07;0.14;0.02;0;0;1.49
Hydrangea sp. ;0.69;1.44;0.33;0.98;1;0.78;0.01;0.01;0.08;0.17;0.03;0.01;0;1.53
Hydrangea sp. ;0.72;1.53;0.36;0.98;1;0.79;0.01;0.03;0.04;0.11;0.01;0;0;0.99
Hydrangea sp. ;0.73;1.51;0.35;0.99;1;0.81;0.02;0.06;0.08;0.17;0.03;0.01;0;1.55
Hydrangea sp. ;0.65;1.4;0.3;0.98;1;0.8;0.01;0.01;0.11;0.19;0.03;0.01;0;1.96
Hydrangea sp. ;0.72;1.57;0.37;0.98;1;0.77;0.01;0.04;0.12;0.19;0.04;0.01;0;2.13
Pseudosasa japonica ;1;10.35;0.91;0.91;0.98;0.17;0.03;0.12;0.02;0.09;0.01;0;0;0.74
Pseudosasa japonica ;1;9.97;0.91;0.92;0.98;0.17;0.02;0.1;0.02;0.08;0.01;0;0;0.67
Pseudosasa japonica ;1;11.36;0.91;0.92;0.94;0.14;0.02;0.07;0.02;0.09;0.01;0;0;0.68
Pseudosasa japonica ;1;16.83;0.94;0.86;0.9;0.09;0.04;0.23;0.01;0.07;0;0;0;0.42
Pseudosasa japonica ;1;15.07;0.94;0.88;0.96;0.12;0.03;0.19;0.01;0.05;0;0;0;0.51
Pseudosasa japonica ;1;10.38;0.91;0.92;1;0.18;0.02;0.05;0.02;0.07;0.01;0;0;0.72
Pseudosasa japonica ;1;10.74;0.91;0.93;1;0.18;0.03;0.15;0.02;0.07;0;0;0;0.59
Pseudosasa japonica ;1;10.42;0.9;0.97;0.99;0.2;0.01;0.01;0.02;0.08;0.01;0;0;0.66
Pseudosasa japonica ;1;10.63;0.91;0.89;0.96;0.16;0.03;0.12;0.01;0.07;0;0;0;0.52
Pseudosasa japonica ;1;10.01;0.9;0.92;0.98;0.16;0.03;0.2;0.02;0.07;0;0;0;0.6
Pseudosasa japonica ;1;19.04;0.95;0.85;0.91;0.09;0.07;0.97;0.01;0.05;0;0;0;0.34
Magnolia grandiflora ;0.91;2.55;0.61;0.97;1;0.56;0.02;0.07;0.1;0.17;0.03;0.01;0;2.38
Magnolia grandiflora ;0.9;2.46;0.6;0.99;1;0.61;0.01;0.01;0.09;0.17;0.03;0.01;0;1.89
Magnolia grandiflora ;0.91;2.58;0.62;0.97;1;0.56;0.03;0.18;0.08;0.16;0.03;0.01;0;1.7
Magnolia grandiflora ;0.92;2.65;0.63;0.98;1;0.58;0.01;0.01;0.08;0.17;0.03;0.01;0;1.72
Magnolia grandiflora ;0.92;2.67;0.63;0.98;1;0.52;0.02;0.06;0.1;0.18;0.03;0.01;0;1.97
Magnolia grandiflora ;0.89;2.42;0.59;0.98;1;0.61;0.02;0.06;0.1;0.19;0.03;0.01;0;1.83
Magnolia grandiflora ;0.94;3.02;0.67;0.99;1;0.53;0.01;0.01;0.08;0.18;0.03;0.01;0;1.24
Magnolia grandiflora ;0.9;2.39;0.58;0.99;1;0.64;0.01;0.01;0.07;0.16;0.02;0.01;0;1.41
Magnolia grandiflora ;0.92;2.65;0.63;0.96;0.99;0.54;0.01;0.03;0.1;0.18;0.03;0.01;0;1.8
Magnolia grandiflora ;0.93;2.8;0.65;0.98;1;0.48;0.02;0.04;0.1;0.18;0.03;0.01;0;1.8
Magnolia grandiflora ;0.92;2.81;0.65;0.95;0.96;0.51;0.05;0.37;0.04;0.13;0.02;0.01;0;0.83
Geranium sp. ;0.39;1.1;0.73;0.72;0.69;0.18;0.08;1.05;0.06;0.16;0.02;0.01;0;1.2
Geranium sp. ;0.47;1.13;0.81;0.66;0.47;0.09;0.1;1.69;0.1;0.21;0.04;0.02;0;1.59
Geranium sp. ;0.37;1.05;0.77;0.74;0.77;0.22;0.08;1.03;0.07;0.18;0.03;0.01;0;1.35
Geranium sp. ;0.15;1.06;0.78;0.73;0.66;0.17;0.08;1.18;0.1;0.18;0.03;0.01;0;2
Geranium sp. ;0.68;1.19;0.79;0.73;0.6;0.14;0.07;0.96;0.09;0.18;0.03;0.01;0;1.86
Geranium sp. ;0.38;1.14;0.82;0.69;0.59;0.13;0.09;1.54;0.11;0.21;0.04;0.01;0;2.03
Geranium sp. ;0.28;1.08;0.75;0.72;0.71;0.14;0.08;1.14;0.14;0.22;0.05;0.01;0;2.41
Geranium sp. ;0.35;1.03;0.78;0.71;0.62;0.14;0.09;1.47;0.1;0.21;0.04;0.02;0;1.69
Geranium sp. ;0.6;1.14;0.72;0.66;0.48;0.16;0.11;2.34;0.05;0.14;0.02;0.01;0;1.15
Geranium sp. ;0.47;1.09;0.85;0.54;0.4;0.08;0.13;3.18;0.08;0.19;0.03;0.01;0;1.56
